imageIndex,typ,errText,errorClassCombined,errorClassText,is_good,is_PseudoFehler
0,ELLIPSE,Klemmträger verlötet,good,PseudoFehler,1,1
1,ELLIPSE,Pin,good,PseudoFehler,1,1
2,ELLIPSE,Pin,good,PseudoFehler,1,1
3,RECT,Meniskus,good,PseudoFehler,1,1
4,RECT,Meniskus,good,PseudoFehler,1,1
5,RECT,Meniskus,good,PseudoFehler,1,1
6,RECT,Meniskus,good,PseudoFehler,1,1
7,RECT,Meniskus,good,PseudoFehler,1,1
8,RECT,Meniskus,good,PseudoFehler,1,1
9,RECT,Meniskus,good,PseudoFehler,1,1
10,RECT,Meniskus,good,PseudoFehler,1,1
11,RECT,Meniskus,good,PseudoFehler,1,1
12,RECT,Meniskus,good,PseudoFehler,1,1
13,RECT,Meniskus,good,PseudoFehler,1,1
14,RECT,Meniskus,good,PseudoFehler,1,1
15,RECT,Meniskus,good,PseudoFehler,1,1
16,RECT,Lotperle,good,PseudoFehler,1,1
17,RECT,Meniskus,good,PseudoFehler,1,1
18,RECT,Meniskus,good,PseudoFehler,1,1
19,RECT,Lotperle,good,PseudoFehler,1,1
20,RECT,Lotperle,good,PseudoFehler,1,1
21,RECT,Lotperle,good,PseudoFehler,1,1
22,RECT,Meniskus,good,PseudoFehler,1,1
23,RECT,Lotperle,good,PseudoFehler,1,1
24,RECT,Lotperle,good,PseudoFehler,1,1
25,RECT,Lotperle,good,PseudoFehler,1,1
26,RECT,Meniskus,good,PseudoFehler,1,1
27,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
28,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
29,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
30,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
31,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
32,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
33,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
34,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
35,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
