imageIndex,typ,errText,errorClassCombined
0,ELLIPSE,Klemmträger verlötet,good
1,ELLIPSE,Pin,good
2,ELLIPSE,Pin,good
3,RECT,Meniskus,good
4,RECT,Meniskus,good
5,RECT,Meniskus,good
6,RECT,Meniskus,good
7,RECT,Meniskus,good
8,RECT,Meniskus,good
9,RECT,Meniskus,good
10,RECT,Meniskus,good
11,RECT,Meniskus,good
12,RECT,Meniskus,good
13,RECT,Meniskus,good
14,RECT,Meniskus,good
15,RECT,Meniskus,good
16,RECT,Lotperle,good
17,RECT,Meniskus,good
18,RECT,Meniskus,good
19,RECT,Lotperle,good
20,RECT,Lotperle,good
21,RECT,Lotperle,good
22,RECT,Meniskus,good
23,RECT,Lotperle,good
24,RECT,Lotperle,good
25,RECT,Lotperle,good
26,RECT,Meniskus,good
27,ELLIPSE,Lötung,THT Loetstelle offen
28,ELLIPSE,Lötung,THT Loetstelle offen
29,ELLIPSE,Lötung,THT Loetstelle offen
30,ELLIPSE,Lötung,THT Loetstelle offen
31,ELLIPSE,Lötung,THT Loetstelle offen
32,ELLIPSE,Lötung,THT Loetstelle offen
33,ELLIPSE,Lötung,THT Loetstelle offen
34,ELLIPSE,Meniskus,THT Loetstelle offen
35,ELLIPSE,Lötung,THT Loetstelle offen
36,ELLIPSE,Lötung,THT Loetstelle offen
37,ELLIPSE,Lötung,THT Loetstelle offen
38,ELLIPSE,Lötung,THT Loetstelle offen
39,ELLIPSE,Lötung,THT Loetstelle offen
40,RECT,Lotperle,THT Loetstelle offen
41,RECT,Lotperle,THT Loetstelle offen
42,RECT,Lotperle,THT Loetstelle offen
43,ELLIPSE,Pin,THT Loetstelle offen
44,ELLIPSE,Lötung,THT Loetstelle offen
45,ELLIPSE,Meniskus,THT Loetstelle offen
46,ELLIPSE,Meniskus,THT Loetstelle offen
47,ELLIPSE,Pin,THT Loetstelle offen
48,ELLIPSE,Pin,THT Loetstelle offen
49,ELLIPSE,Meniskus,THT Loetstelle offen
50,ELLIPSE,Pin,THT Loetstelle offen
51,ELLIPSE,Meniskus,THT Loetstelle offen
52,ELLIPSE,Meniskus,THT Loetstelle offen
53,ELLIPSE,Pin,THT Loetstelle offen
54,ELLIPSE,Meniskus,THT Loetstelle offen
55,ELLIPSE,Pin,THT Loetstelle offen
56,ELLIPSE,Meniskus,THT Loetstelle offen
57,ELLIPSE,Meniskus,THT Loetstelle offen
58,ELLIPSE,Meniskus,THT Loetstelle offen
59,ELLIPSE,Meniskus,THT Loetstelle offen
60,ELLIPSE,Pin,THT Loetstelle offen
61,ELLIPSE,Meniskus,THT Loetstelle offen
62,ELLIPSE,Pin,THT Loetstelle offen
63,ELLIPSE,Meniskus,THT Loetstelle offen
64,ELLIPSE,Pin,THT Loetstelle offen
65,ELLIPSE,Meniskus,THT Loetstelle offen
66,ELLIPSE,Pin,THT Loetstelle offen
67,ELLIPSE,Pin,THT Loetstelle offen
68,ELLIPSE,Lötung,THT Loetstelle offen
69,ELLIPSE,Pin,THT Loetstelle offen
70,ELLIPSE,Meniskus,THT Loetstelle offen
71,ELLIPSE,Pin,THT Loetstelle offen
72,ELLIPSE,Lötung,THT Loetstelle offen
73,ELLIPSE,Lötung,THT Loetstelle offen
74,ELLIPSE,Lötung,THT Loetstelle offen
75,ELLIPSE,Lötung,THT Loetstelle offen
