imageIndex,typ,errText,errorClassCombined
0,RECT,Lotperle,THT Loetst.Form mangelhaft
1,RECT,Lotperle,good
2,RECT,Lotperle,good
3,RECT,Lotperle,good
4,RECT,Lotperle,good
5,RECT,Lotperle,good
6,RECT,Lotperle,THT Loetst.Form mangelhaft
7,RECT,Lotperle,THT Loetbruecke
8,RECT,Lotperle,THT Loetbruecke
9,RECT,Lotperle,THT Loetbruecke
10,RECT,Lotperle,THT Loetbruecke
11,RECT,Lotperle,THT Loetbruecke
12,RECT,Lotperle,THT Loetbruecke
13,RECT,Lotperle,THT Loetbruecke
14,RECT,Lotperle,THT Loetbruecke
15,RECT,Lotperle,THT Loetbruecke
16,RECT,Lotperle,THT Loetbruecke
17,RECT,Lotperle,THT Loetbruecke
18,RECT,Lotperle,THT Loetbruecke
19,RECT,Lotperle,good
20,RECT,Lotperle,good
21,RECT,Lotperle,good
22,RECT,Lotperle,good
23,RECT,Lotperle,good
24,RECT,Lotperle,THT Loetbruecke
25,RECT,Lotperle,THT Loetbruecke
26,RECT,Lotperle,THT Loetbruecke
27,RECT,Lotperle,THT Loetbruecke
28,RECT,Lotperle,good
29,RECT,Lotperle,good
30,RECT,Lotperle,good
31,RECT,Lotperle,THT Loetbruecke
32,RECT,Lotperle,THT Loetbruecke
33,RECT,Lotperle,THT Loetbruecke
34,RECT,Lotperle,THT Loetbruecke
35,RECT,Lotperle,THT Loetbruecke
36,RECT,Lotperle,THT Loetbruecke
37,RECT,Lotperle,THT Loetbruecke
38,RECT,Lotperle,THT Loetbruecke
39,RECT,Lotperle,THT Loetbruecke
40,RECT,Lotperle,THT Loetbruecke
41,RECT,Lotperle,THT Loetbruecke
42,RECT,Lotperle,good
43,RECT,Lotperle,THT Loetbruecke
44,RECT,Lotperle,good
45,RECT,Lotperle,THT Loetbruecke
46,RECT,Lotperle,THT Loetbruecke
47,RECT,Lotperle,THT Loetbruecke
48,RECT,Lotperle,THT Loetbruecke
49,RECT,Lotperle,THT Loetbruecke
50,RECT,Lotperle,good
51,RECT,Lotperle,THT Loetbruecke
52,RECT,Lotperle,THT Loetbruecke
53,RECT,Lotperle,THT Loetbruecke
54,RECT,Lotperle,THT Loetbruecke
55,RECT,Lotperle,THT Loetbruecke
56,RECT,Lotperle,THT Loetbruecke
57,RECT,Lotperle,THT Loetbruecke
58,RECT,Lotperle,good
59,RECT,Lotperle,good
60,RECT,Lotperle,good
61,RECT,Lotperle,good
62,RECT,Lotperle,THT Loetbruecke
63,RECT,Lotperle,THT Loetbruecke
64,RECT,Lotperle,THT Loetbruecke
65,RECT,Lotperle,THT Loetbruecke
66,RECT,Lotperle,THT Loetbruecke
67,RECT,Lotperle,good
68,RECT,Lotperle,THT Loetbruecke
69,RECT,Lotperle,good
70,RECT,Lotperle,good
71,RECT,Lotperle,good
72,RECT,Lotperle,good
73,RECT,Lotperle,good
74,RECT,Lotperle,good
75,RECT,Meniskus,good
76,RECT,Lotperle,good
77,RECT,Lotperle,good
78,RECT,Lotperle,THT Loetbruecke
79,RECT,Lotperle,good
80,RECT,Lotperle,good
81,RECT,Lotperle,good
82,RECT,Lotperle,THT Loetbruecke
83,RECT,Lotperle,THT Loetbruecke
84,RECT,Lotperle,THT Loetbruecke
85,RECT,Lotperle,THT Loetbruecke
86,RECT,Lotperle,THT Loetbruecke
87,RECT,Lotperle,THT Loetbruecke
88,RECT,Lotperle,THT Loetbruecke
89,RECT,Lotperle,THT Loetbruecke
90,RECT,Lotperle,THT Loetbruecke
91,RECT,Lotperle,THT Loetbruecke
92,RECT,Lotperle,THT Loetbruecke
93,RECT,Lotperle,THT Loetbruecke
94,RECT,Lotperle,THT Loetbruecke
95,RECT,Lotperle,THT Loetbruecke
96,RECT,Lotperle,THT Loetbruecke
97,RECT,Lotperle,THT Loetbruecke
98,RECT,Lotperle,THT Loetbruecke
99,RECT,Lotperle,good
100,RECT,Lotperle,THT Loetbruecke
101,RECT,Lotperle,good
102,RECT,Lotperle,good
103,RECT,Meniskus,THT Loetstelle offen
104,RECT,Lotperle,good
105,RECT,Lotperle,good
106,RECT,Lotperle,good
107,RECT,Meniskus,good
108,RECT,Lotperle,good
109,RECT,Lotperle,good
110,RECT,Lotperle,good
111,RECT,Lotperle,good
112,RECT,Lotperle,good
113,RECT,Lotperle,good
114,RECT,Lotperle,good
115,RECT,Lotperle,good
116,RECT,Lotperle,good
117,RECT,Lotperle,good
118,RECT,Lotperle,good
119,RECT,Lotperle,good
120,RECT,Lotperle,good
121,RECT,Lotperle,good
122,RECT,Lotperle,good
123,RECT,Lotperle,good
124,RECT,Lotperle,good
125,RECT,Lotperle,good
126,RECT,Lotperle,good
127,RECT,Lotperle,good
128,RECT,Lotperle,good
129,RECT,Lotperle,good
130,RECT,Lotperle,good
131,RECT,Lotperle,good
132,RECT,Lotperle,good
133,RECT,Lotperle,good
134,RECT,Lotperle,good
135,RECT,Lotperle,good
136,RECT,Lotperle,good
137,RECT,Lotperle,good
138,RECT,Lotperle,good
139,RECT,Lotperle,good
140,RECT,Lotperle,good
141,RECT,Lotperle,good
142,RECT,Lotperle,good
143,RECT,Lotperle,good
144,RECT,Lotperle,THT Loetbruecke
145,RECT,Lotperle,THT Loetbruecke
146,RECT,Lotperle,good
147,RECT,Lotperle,THT Loetbruecke
148,RECT,Lotperle,THT Loetbruecke
149,RECT,Lotperle,THT Loetbruecke
150,RECT,Lotperle,THT Loetbruecke
151,RECT,Lotperle,good
152,RECT,Lotperle,THT Loetbruecke
153,RECT,Lotperle,THT Loetbruecke
154,RECT,Lotperle,THT Loetbruecke
155,RECT,Lotperle,THT Loetbruecke
156,RECT,Lotperle,THT Loetbruecke
157,RECT,Lotperle,THT Loetbruecke
158,RECT,Lotperle,THT Loetbruecke
159,RECT,Lotperle,good
160,RECT,Lotperle,good
161,RECT,Lotperle,THT Loetbruecke
162,RECT,Lotperle,THT Loetbruecke
163,RECT,Lotperle,THT Loetbruecke
164,RECT,Lotperle,THT Loetbruecke
