imageIndex,typ,errText,errorClassCombined
864,ELLIPSE,Klemmträger verlötet,good
207,RECT,Lotperle,good
4767,ELLIPSE,Pin,good
783,ELLIPSE,Meniskus,good
5033,ELLIPSE,Pin,good
4099,ELLIPSE,Pin,good
1691,ELLIPSE,Pin,THT Loetstelle offen
5140,ELLIPSE,Meniskus,good
1528,ELLIPSE,Meniskus,good
626,ELLIPSE,Klemmträger verlötet,good
328,RECT,Lotperle,THT Loetbruecke
3874,ELLIPSE,Lötung,good
2935,ELLIPSE,Meniskus,good
3580,ELLIPSE,Meniskus,good
833,ELLIPSE,Pin,good
1591,ELLIPSE,Pin,good
35,RECT,Lotperle,THT Loetbruecke
3490,ELLIPSE,Klemmträger verlötet,good
1882,ELLIPSE,Lötung,good
1143,ELLIPSE,Lötung,THT Bauteil fehlt
2529,ELLIPSE,Pin,good
4755,ELLIPSE,Pin,good
4923,ELLIPSE,Pin,good
876,ELLIPSE,Klemmträger verlötet,good
1715,ELLIPSE,Meniskus,THT Bauteil fehlt
5130,ELLIPSE,Meniskus,good
1363,ELLIPSE,Lötung,good
2407,ELLIPSE,Pin,good
4533,ELLIPSE,Lötung,THT Loetstelle offen
221,RECT,Lotperle,good
3488,ELLIPSE,no solder,good
1977,ELLIPSE,Meniskus,good
4924,ELLIPSE,Pin,good
3128,ELLIPSE,Lötung,good
1660,ELLIPSE,Pin,good
908,ELLIPSE,Klemmträger verlötet,good
1531,ELLIPSE,Meniskus,good
4829,ELLIPSE,Meniskus,good
1683,ELLIPSE,Lötung,THT Loetstelle offen
3605,ELLIPSE,Meniskus,good
2116,ELLIPSE,Klemmträger verlötet,good
4651,ELLIPSE,Pin,THT Bauteil liegt nicht auf
2826,ELLIPSE,Lötung,good
3335,ELLIPSE,Meniskus,good
1939,ELLIPSE,Klemmträger verlötet,good
2184,ELLIPSE,Klemmträger verlötet,good
5001,ELLIPSE,Meniskus,good
4680,ELLIPSE,Meniskus,good
353,RECT,Lotperle,good
1124,ELLIPSE,Lötung,good
4097,ELLIPSE,Meniskus,good
1563,ELLIPSE,Meniskus,THT Loetstelle offen
256,RECT,Lotperle,good
534,ELLIPSE,Meniskus,good
1375,ELLIPSE,Lötung,THT Loetstelle offen
1059,ELLIPSE,Pin,good
2852,ELLIPSE,Meniskus,good
725,ELLIPSE,Lötung,good
4114,ELLIPSE,Lötung,good
41,RECT,Lotperle,THT Loetbruecke
3656,ELLIPSE,Lötung,THT Loetstelle offen
1176,ELLIPSE,Lötung,THT Bauteil fehlt
5059,ELLIPSE,Pin,good
2753,ELLIPSE,Meniskus,THT Bauteil fehlt
4343,ELLIPSE,Pin,good
2549,ELLIPSE,Lötung,good
3731,ELLIPSE,Lötung,good
1185,ELLIPSE,Lötung,THT Bauteil fehlt
2613,ELLIPSE,Meniskus,good
1188,ELLIPSE,Meniskus,good
1223,ELLIPSE,Meniskus,good
4452,ELLIPSE,Lötung,good
3938,ELLIPSE,Pin,good
4167,ELLIPSE,Lötung,good
2807,ELLIPSE,Pin,THT Bauteil liegt nicht auf
737,ELLIPSE,Meniskus,good
4405,ELLIPSE,Pin,good
4612,ELLIPSE,Meniskus,good
3444,ELLIPSE,no solder,good
